id,time,valume,price
1,0.000000,500.000000,9.37000
2,0.000000,2600.000000,9.37000
3,0.030000,100.000000,9.37000
4,0.030000,100.000000,9.37000
5,0.050000,400.000000,9.37000
6,0.050000,200.000000,9.37000
7,0.050000,1900.000000,9.37000
8,0.070000,200.000000,9.37000
9,0.070000,800.000000,9.37000
10,0.080000,100.000000,9.37000
11,0.080000,900.000000,9.37000
12,0.080000,600.000000,9.37000
13,0.080000,1400.000000,9.37000
14,0.080000,1300.000000,9.37000
15,0.080000,1600.000000,9.37000
16,0.080000,900.000000,9.37000
17,0.080000,500.000000,9.37000
18,0.080000,800.000000,9.37000
19,0.080000,400.000000,9.37000
20,0.080000,400.000000,9.37000
21,0.080000,100.000000,9.37000
22,0.080000,100.000000,9.37000
23,0.080000,200.000000,9.37000
24,0.080000,500.000000,9.37000
25,0.080000,2400.000000,9.37000
26,0.080000,400.000000,9.37000
27,0.080000,500.000000,9.37000
28,0.080000,600.000000,9.37000
29,0.080000,700.000000,9.37000
30,0.080000,500.000000,9.37000
31,0.080000,200.000000,9.37000
32,0.120000,700.000000,9.37000
33,0.120000,1300.000000,9.37000
34,0.120000,100.000000,9.37000
35,0.120000,2100.000000,9.37000
36,0.130000,2300.000000,9.37000
37,0.140000,300.000000,9.37000
38,0.150000,1400.000000,9.37000
39,0.150000,500.000000,9.37000
40,0.150000,600.000000,9.37000
41,0.170000,200.000000,9.37000
42,0.170000,800.000000,9.37000
43,0.170000,2100.000000,9.37000
44,0.170000,400.000000,9.37000
45,0.170000,400.000000,9.37000
46,0.170000,900.000000,9.37000
47,0.170000,200.000000,9.39000
48,0.170000,100.000000,9.39000
49,0.200000,900.000000,9.39000
50,0.200000,3500.000000,9.39000
51,0.200000,1400.000000,9.39000
52,0.200000,2000.000000,9.40000
53,0.200000,3000.000000,9.40000
54,0.200000,800.000000,9.40000
55,0.210000,2700.000000,9.41000
56,0.320000,8000.000000,9.41000
57,0.350000,800.000000,9.41000
58,0.490000,1300.000000,9.41000
59,0.550000,400.000000,9.41000
60,0.670000,1000.000000,9.42000
61,0.750000,2000.000000,9.42000
62,0.940000,700.000000,9.43000
63,0.940000,500.000000,9.43000
64,0.970000,3600.000000,9.42000
65,1.210000,1000.000000,9.43000
66,1.550000,1100.000000,9.42000
67,1.570000,2300.000000,9.42000
68,1.570000,1900.000000,9.41000
69,1.840000,300.000000,9.41000
70,1.870000,10100.000000,9.41000
71,1.870000,1500.000000,9.41000
72,1.930000,8200.000000,9.41000
73,1.930000,1100.000000,9.41000
74,1.930000,500.000000,9.41000
75,1.930000,200.000000,9.40000
76,2.060000,100.000000,9.40000
77,2.610000,900.000000,9.40000
78,2.870000,5000.000000,9.40000
79,3.570000,3800.000000,9.40000
80,3.570000,3000.000000,9.40000
81,3.570000,4200.000000,9.40000
82,3.570000,3000.000000,9.40000
83,3.570000,400.000000,9.40000
84,3.570000,500.000000,9.40000
85,3.570000,600.000000,9.40000
86,3.570000,1200.000000,9.40000
87,3.570000,1000.000000,9.40000
88,3.570000,1000.000000,9.40000
