File: /Users/mythezone/miniconda3/envs/simlob312/lib/python3.12/site-packages/rich/__init__.py
  Line 786: executed 109 times, time 0.00000381 sec
  Line 790: executed 786 times, time 0.00002551 sec
  Line 791: executed 777 times, time 0.00002408 sec
  Line 792: executed 680 times, time 0.00001574 sec
  Line 793: executed 680 times, time 0.00001574 sec
  Line 797: executed 777 times, time 0.00002003 sec
  Line 798: executed 777 times, time 0.00002027 sec
  Line 799: executed 660 times, time 0.00001907 sec
  Line 800: executed 660 times, time 0.00002599 sec
  Line 803: executed 786 times, time 0.00001812 sec
  Line 809: executed 786 times, time 0.00002956 sec
  Line 810: executed 786 times, time 0.00001884 sec
  Line 813: executed 781 times, time 0.00001979 sec
  Line 814: executed 5 times, time 0.00000000 sec
  Line 817: executed 786 times, time 0.00001979 sec
  Line 818: executed 665 times, time 0.00003195 sec
  Line 819: executed 786 times, time 0.00002217 sec
  Line 820: executed 786 times, time 0.00002718 sec
  Line 913: executed 786 times, time 0.00002432 sec
  Line 915: executed 781 times, time 0.00001526 sec
  Line 921: executed 786 times, time 0.00001812 sec
  Line 926: executed 786 times, time 0.00002408 sec
  Line 927: executed 786 times, time 0.00002956 sec
  Line 928: executed 786 times, time 0.00002146 sec
  Line 929: executed 786 times, time 0.00001550 sec
  Line 930: executed 786 times, time 0.00002003 sec
  Line 935: executed 786 times, time 0.00001407 sec
  Line 936: executed 1 times, time 0.00000000 sec
  Line 937: executed 1 times, time 0.00000000 sec
  Line 938: executed 1 times, time 0.00000000 sec
  Line 941: executed 1 times, time 0.00000000 sec
  Line 946: executed 785 times, time 0.00001907 sec
  Line 947: executed 785 times, time 0.00002456 sec
  Line 948: executed 785 times, time 0.00002480 sec
  Line 950: executed 786 times, time 0.00001740 sec
  Line 952: executed 785 times, time 0.00002503 sec
  Line 984: executed 809 times, time 0.00002170 sec
  Line 985: executed 2 times, time 0.00000000 sec
  Line 987: executed 807 times, time 0.00001860 sec
  Line 992: executed 2 times, time 0.00000000 sec
  Line 995: executed 2 times, time 0.00000000 sec
  Line 1000: executed 2 times, time 0.00000000 sec
  Line 1018: executed 2 times, time 0.00000000 sec
  Line 1105: executed 1 times, time 0.00000000 sec
  Line 1107: executed 1 times, time 0.00000000 sec
  Line 1108: executed 1 times, time 0.00000000 sec
  Line 1112: executed 1 times, time 0.00000095 sec
